店舗管理番号,請求月,請求書番号,取引先名称,取引先部署
D001,3月,19112,松原興産 株式会社,【請求管理番号：D001】
A439,5月,19133,株式会社スポーツレジャーシステムズ,【店舗管理番号：A439】
A407,4月・5月,19294,株式会社エム・カンパニー,【店舗管理番号：A407ダーツ】
A092,5月,19305,KC BAR,【店舗管理番号：A092】
A039,5月,19340,心選組,【店舗管理番号：A039】
A559,5月,19344,Bar 血と骨,【店舗管理番号：A559】
A059,5月,19345,Chou　Chou,【店舗管理番号：A059】
A453,5月,19350,ダーツ＆シーシャBar PJ　あべのキューズ店,【店舗管理番号：A453】
B196,5月,19353,felice2000,【店舗管理番号：B196】
A308,5月,19395,BAR　T'S,【店舗管理番号：A308】
A501,5月,19426,AMANE,【店舗管理番号：A501】
D009,3月・4月・5月,19427,株式会社さわやか倶楽部,【請求管理番号：D009】
A600,5月,19455,T-BAR,【店舗管理番号：A600】
B190,3月,19456,Bar PLAY,【店舗管理番号：B190】
A591,5月,19457,AligN（アライン）,【店舗管理番号：A591】
A519,5月,19458,Alc%N（アルコロン）,【店舗管理番号：A519】
B052,3月,19459,BAR Chuto,【店舗管理番号：B052】
A637,5月,19460,株式会社　藤田産業,【店舗管理番号：A637】
A082,5月,19461,BAR LOL,【店舗管理番号：A082】
B156,,19462,酒蔵　駒忠,【店舗管理番号：B156】
A539,5月,19463,カラオケBARルチル,【店舗管理番号：A539】
A037,5月,19466,RELAX　BAR　467,【店舗管理番号：A037】
A627,5月,19467,シェイキンヒップBAR,【店舗管理番号：A627】
A618,5月,19474,シーシャバーアイビス 川西店,【店舗管理番号：A618】
A604,5月,19475,麻雀コンカフェ one pai,【店舗管理番号：A604】
A433,5月,19477,株式会社慈烏,【店舗管理番号：A433】
A578,5月,19496,スナック　Rui,【店舗管理番号：A578】
A579,5月,19505,apipelli,【店舗管理番号：A579】
A634,3月・4月・5月,19506,Next Bar XYZ,【店舗管理番号：A634】
A470,5月,19507,有限会社　木崎製作所　　木崎,【店舗管理番号：A470】
A482,5月,19508,ビリヤード&ダーツ インパクト,【店舗管理番号：A482】
B144,3月・5月,19509,株式会社SGA,【店舗管理番号：B144】
A640,4月・5月,19513,INA DARTS STAND MATO,【店舗管理番号：A640】
A342,4月,19549,株式会社NOROSHI,【店舗管理番号：A342】
A614,5月,19550,DARTS BAR bond,【店舗管理番号：A614】
A367,5月,19551,Bar RIVAI,【店舗管理番号：A367】
A493,5月,19552,BAR ACE,【店舗管理番号：A493】
A366,5月,19553,D-Break,【店舗管理番号：A366】
A558,5月,19556,G&B,【店舗管理番号：A558】
A602,5月,19557,ビリヤードMATSUYA別館,【店舗管理番号：A602】
A003,5月,19558,MATSUYA+,【店舗管理番号：A003】
A292,5月,19559,ガールズバー　LENS,【店舗管理番号：A292】
B028,5月,19560,R&K,【店舗管理番号：B028】
A581,5月,19561,ネットジョーズ,【店舗管理番号：A581】
A117,5月,19562,株式会社ニュー・オータニ　ゴールデンスパ,【店舗管理番号：A117】
A395,3月,19563,BAR Lit,【店舗管理番号：A395】
A562,5月,19565,Cafe & Pool Bar Contact,【店舗管理番号：A562】
A486,5月,19566,King On Bunny 栄店,【店舗管理番号：A486】
A025,3月・5月,19567・19568,ﾀﾞｰﾂｶﾌｪ ｶﾞｰﾃﾞﾝ京都,【店舗管理番号：A025】
A288,5月,19572,Sports　CLUB　Bar　SpoSpo,【店舗管理番号：A288】
